Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I80-W	4	Solano	Fairfield	R12.17	39.642	.281	401216	Green Valley Rd rm-w-diag	5	Mainline	loops	No	DT350	L5-W-23-080-R1217
I80-W	4	Solano	Fairfield	12.45	39.933	.515	421006	WB 12 conn-w-diag	5	Mainline	loops	No	DT8C9	L5-W-23-080-01245
I80-W	4	Solano	Fairfield	13.19	40.673	.565	401782	1200' W of Suisun Valley Rd	5	Mainline	loops	No	DT778	L5-W-23-080-01319
I80-W	4	Solano	Fairfield	13.58	41.063	.4	401785	Suisun Valley Rd	6	Mainline	loops	No	DT7A8	L6-W-23-080-01358
I80-W	4	Solano		13.99	41.473	.465	401786	2500' E OF SUISUN VALLEY RD OC	5	Mainline	loops	No	DT780	L5-W-23-080-01399
I80-W	4	Solano		14.51	41.993	.395	401788	E of Cordelia Truck Inspection	5	Mainline	loops	No	DT782	L5-W-23-080-01451
I80-W	4	Solano		14.78	42.263	.23	413389	1/4 mi. E of WB truck scale	6	Mainline	loops	No	DT8D1	L6-W-23-080-01478
I80-W	4	Solano		14.97	42.453	.365	401790	5000' E of Cordelia Truck Insp	5	Mainline	loops	No	DT784	L5-W-23-080-01497
I80-W	4	Solano		15.51	42.993	.545	410791	WB 12 rm-w-diag	5	Mainline	loops	No	DTB67	L5-W-23-080-01551
I80-W	4	Solano		16.06	43.543	.79	410782	Abernathy Rd rm-w-diag	5	Mainline	loops	No	DTC58	L5-W-23-080-01606
I80-W	4	Solano	Fairfield	17.09	44.573	.715	404413	Rockville rd rm-w-diag	5	Mainline	loops	No	DT074	L5-W-23-080-01709
I80-W	4	Solano	Fairfield	17.49	44.973	.38	402003	OLIVER RD	4	Mainline	loops	No	DT146	L4-W-23-080-01749
I80-W	4	Solano	Fairfield	17.85	45.333	.245	401152	Travis Blvd rm-w-diag	5	Mainline	loops	No	DT076	L5-W-23-080-01785
I80-W	4	Solano	Fairfield	17.98	45.463	.275	401155	Travis Blvd rm-w-loop	5	Mainline	loops	No	DT781	L5-W-23-080-01798
I80-W	4	Solano	Fairfield	18.4	45.883	.505	412696	4A5344 loc 21	4	Mainline	magnetometers	No	DS917	N4-W-23-080-01840
I80-W	4	Solano	Fairfield	18.99	46.473	.78	410779	Waterman Blvd rm-w-diag	5	Mainline	loops	No	DTC61	L5-W-23-080-01899
I80-W	4	Solano	Fairfield	19.96	47.443	.705	411131	4A5344 loc 26	4	Mainline	magnetometers	No	DS922	N4-W-23-080-01996
